"According to the WHO Constitution, what standard of health is every human being entitled to?",The highest attainable standard of physical and mental health.
"How does the 'International Covenant on Economic, Social and Cultural Rights' (Article 12) relate to health?",It is the primary international legal instrument enshrining the right to the highest attainable standard of health.
Which treaty specifically addresses the right to health in the context of eliminating discrimination against women?,"CEDAW (Articles 11, 12, and 14)"
The moral imperative of 'international cooperation' requires wealthier countries to do what for those with fewer resources?,They have a legal and ethical obligation to assist and cooperate in the realization of health rights.
"According to Dr. Tedros Adhanom Ghebreyesus, why are attacks on health care during conflicts a violation of international law?",They violate international humanitarian law and undermine health as a pillar of peace and security.
What historical occurrence in Gaza in 2025 illustrated the link between the absence of peace and the resurgence of disease?,The resurgence of polio after 25 years without a case.
Concept: Health Equity,Definition: A framework used to identify and address unfair and remediable health disparities among different sub-populations.
"In the context of moral philosophy in health, why is 'accountability' considered a fundamental principle?",It ensures that countries establish administrative or judicial remedies for the violation of health rights.
Which specific population group's health rights are protected under Article 25 of the 'Convention on the Rights of Persons with Disabilities'?,Persons with disabilities
What is the ethical significance of 'informed consent' in the context of Acceptability?,It ensures respect for medical ethics and the individual's right to control their own body.
Why are 'determinants of health' like water and sanitation included in the right to health quality?,Because health is scientifically dependent on these underlying factors to prevent disease and maintain physical well-being.
"According to the 'Human Rights' source, what are the primary root causes of health disparities that countries must address?","Poverty, stigma, and discrimination."
"Which component of the AAAQ framework is measured using disaggregated data by age, sex, and location to find coverage gaps?",Availability
True or False: The principle of 'Progressive Realization' allows countries to delay the implementation of non-discrimination measures.,False; the guarantee of non-discrimination has immediate effect.
"In city health diplomacy, how is health viewed beyond just medical services?","As a 'lingua franca' for building inclusive, sustainable, and equitable societies."
What does the 'Participation' principle in a rights-based approach require?,"The active involvement of all stakeholders, including the affected populations, in health policy-making."
How do sudden cuts to official development assistance (ODA) impact the global context of health rights?,"They deepen inequalities, cause instability, and wreak havoc on the health of millions."
Term: People-centred care,Definition: A quality attribute requiring care that responds to individual needs and caters to diverse population groups.
Which treaty protects the rights of children to the highest attainable standard of health?,Convention on the Rights of the Child (Article 24)
What is the relationship between the 'right to education' and the 'right to health'?,They are indivisible; education provides the information accessibility needed to realize health outcomes.
How does the 'WHO Framework Convention on Tobacco Control' represent health diplomacy as a moral action?,It uses multilateral legal commitments to manage health risks and protect populations from non-State commercial interests.
The moral philosophy of health diplomacy posits that health is not just a moral imperative but a pillar of _____.,"Security, peace, and prosperity."
Why is 'Acceptability' specifically sensitive to gender in a human rights framework?,To ensure health programs are designed to meet the distinct biological and social needs of different genders without bias.
"Under the principle of 'Equality,' what is the ethical requirement for health information formats?",They must allow people with varying levels of literacy and disability to access the information they need.
"In the AAAQ framework, what dimension is affected if a health facility is located too far for a marginalized community to travel?",Physical accessibility
Concept: Economic Accessibility,"Definition: The requirement that health facilities, goods, and services must be affordable for all."
"According to WHO, what is the 'most serious threat to health' related to the distribution of resources?","The inequitable distribution of power, money, and resources."
What is the primary goal of health diplomacy in the context of the 'migrant and refugee challenge'?,To protect and improve their health within a framework of humanity and solidarity without prejudice to host populations.
Why is 'Integrated' care a component of quality in health rights?,It ensures a full range of health services are provided throughout the entire life course.
"In global health diplomacy, what does it mean to 'negotiate for health in the face of other interests'?","Advocating for health outcomes when they conflict with economic, trade, or security agendas."
Which principle suggests that health interventions must respond to overlapping factors like ethnicity and sexual orientation simultaneously?,Intersectionality
What ethical value is reflected in a city's 'energy efficiency' and 'climate action' according to city health diplomacy?,"Sustainability, which is described as equity with respect to future generations."
"According to the human rights overview, what is the 'legal obligation' of a country after it ratifies an international treaty?",To protect and fulfill the rights recognized in the treaty.
What does 'Scientifically and medically approved' refer to in the context of health quality?,The requirement that health goods and services meet established clinical and safety standards.
